【领域汇总】
"领域","收敛前数量","收敛后数量","削减数量","削减率"
"资金","122","94","28","23.0%"
"投资","60","39","21","35.0%"
"费用","109","75","34","31.2%"
"财税","210","165","45","21.4%"
"系统","536","494","42","7.8%"
"机构","24","16","8","33.3%"
"合计","1061","883","178","16.8%"

【城市×领域收敛矩阵】
"城市","资金_收敛前","资金_收敛后","资金_削减","投资_收敛前","投资_收敛后","投资_削减","费用_收敛前","费用_收敛后","费用_削减","财税_收敛前","财税_收敛后","财税_削减","系统_收敛前","系统_收敛后","系统_削减","机构_收敛前","机构_收敛后","机构_削减","合计削减数","合计削减率"
"上海","47","38","9","6","6","0","16","14","2","80","65","15","213","196","17","8","7","1","44","11.9%"
"合肥","17","14","3","34","19","15","34","16","18","51","46","5","77","68","9","7","1","6","56","25.5%"
"深圳","34","22","12","6","5","1","13","12","1","37","28","9","139","131","8","5","4","1","32","13.7%"
"成都","14","13","1","12","11","1","21","19","2","38","30","8","75","71","4","2","2","0","16","9.9%"
"内江","10","10","0","0","0","0","22","13","9","3","4","-1","27","27","0","1","1","0","8","12.7%"

【智能体明细】
"智能体ID","智能体名称","分中心","城市归属","所属领域","一级服务线","二级服务线","场景","调用量","发布状态","收敛状态","所属方案ID","方案代表智能体","方案相似度","方案智能体数"
"agent_85","人格-账户开户报备审核辅助","上海分公司","上海","资金","账户办理","账户业务办理","资金管理类服务项目","1829","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_211","人格-账流明细校验","上海分公司","上海","资金","账套管理","创建凭证","财务类服务项目","422","已发布","已收敛","proposal_24","账套管理-创建凭证-统一智能体","4.7%","5"
"agent_323","人格-银企直联主账号及直联资料","上海分公司","上海","资金","账户办理","账户业务办理","资金管理类服务项目","139","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_327","人格-计费主体及管理主体查询","上海分公司","上海","资金","账户办理","账户业务办理","资金管理类服务项目","130","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_343","人格-银行联系方式","上海分公司","上海","资金","账户办理","账户业务办理","资金管理类服务项目","116","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_370","全量银行科目代码查询","上海分公司","上海","资金","账套附加","账套附加","财务类服务项目","89","已发布","已收敛","proposal_18","账套附加-账套附加-统一智能体","15.7%","14"
"agent_402","人格-异常交易-大额审批","上海分公司","上海","资金","资金交易与确认","系统集中收付","系统运维类服务项目","68","已发布","已收敛","proposal_26","资金交易与确认-系统集中收付-统一智能体","55.5%","2"
"agent_405","人格-根据银行账号查询账户名称","上海分公司","上海","资金","账套附加","账套附加","财务类服务项目","67","已发布","已收敛","proposal_18","账套附加-账套附加-统一智能体","15.7%","14"
"agent_474","人格-异常交易-资金交易拦截","上海分公司","上海","资金","资金交易与确认","系统集中收付","系统运维类服务项目","43","已发布","已收敛","proposal_26","资金交易与确认-系统集中收付-统一智能体","55.5%","2"
"agent_489","人格-账户签报辅助审核","上海分公司","上海","资金","账户办理","账户业务办理","资金管理类服务项目","39","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_650","银行流水智能识别工具","上海分公司","上海","资金","账套管理","创建凭证","财务类服务项目","18","未发布","已收敛","proposal_24","账套管理-创建凭证-统一智能体","4.7%","5"
"agent_663","人格-银保手续费结算签报助手","上海分公司","上海","资金","账套管理","月结基础套餐","财务类服务项目","16","已发布","已收敛","proposal_13","账套管理-月结基础套餐-统一智能体","14.9%","14"
"agent_19","人格-上海地区网银管理员-各专业公司网银卡设置流程-问答","上海分公司","上海","资金","资金交易与确认","系统及网银卡设置","系统运维类服务项目","15719","已发布","未收敛","","","",""
"agent_67","账户审批链（对接AMS生产）","总部","上海","资金","","","","2771","已发布","未收敛","","","",""
"agent_70","审批链/可用资金判断模块","上海分公司","上海","资金","","","","2556","已发布","未收敛","","","",""
"agent_178","人格-普惠档案知识库","上海分公司","上海","资金","账户办理","账户档案管理","其他专项服务项目","594","已发布","未收敛","","","",""
"agent_194","人格-账管登记分工知识库","上海分公司","上海","资金","资金专项委托","资金专项委托","资金管理类服务项目","502","已发布","未收敛","","","",""
"agent_212","人格-杂费付款签报审批","上海分公司","上海","资金","","","","419","已发布","未收敛","","","",""
"agent_328","异常交易-资金交易拦截","上海分公司","上海","资金","","","","130","未发布","未收敛","","","",""
"agent_356","异常交易-大额审批","上海分公司","上海","资金","","","","100","未发布","未收敛","","","",""
"agent_454","人格-非普惠档案知识库_导出节点_2025-07-23 09:45:18_导出节点_2025-07-23 10:19:15_导出节点_2025-08-11 14:11:44","上海分公司","上海","资金","账户办理","账户档案管理","其他专项服务项目","48","已发布","未收敛","","","",""
"agent_457","银行联系方式问答","上海分公司","上海","资金","","","","48","未发布","未收敛","","","",""
"agent_549","平安银行签报模板生成","总部","上海","资金","","","","29","已发布","未收敛","","","",""
"agent_594","账管登记分工知识库","上海分公司","上海","资金","","","","24","未发布","未收敛","","","",""
"agent_600","异常交易-资金交易拦截_导出节点_2025-07-21 14:33:53","上海分公司","上海","资金","","","","23","未发布","未收敛","","","",""
"agent_613","异常交易-大额审批_导出节点_2025-07-21 17:26:54","上海分公司","上海","资金","","","","21","未发布","未收敛","","","",""
"agent_630","银企直联主账号及直联资料问答_导出节点_2025-07-23 09:45:18_导出节点_2025-07-23 10:19:15","上海分公司","上海","资金","","","","20","未发布","未收敛","","","",""
"agent_633","人格-账户审批驳回解析","上海分公司","上海","资金","账户办理","账户报备审批","","19","已发布","未收敛","","","",""
"agent_647","账户签报辅助审核.","上海分公司","上海","资金","","","","18","未发布","未收敛","","","",""
"agent_701","大额支付小伙伴_导出节点_2025-05-27 16:08:01","上海分公司","上海","资金","","","","14","未发布","未收敛","","","",""
"agent_744","全量银行科目代码查询助手","上海分公司","上海","资金","","","","12","已发布","未收敛","","","",""
"agent_756","人格-法人章审批链知识库_导出节点_2025-07-23 09:45:18_导出节点_2025-07-23 10:19:15_导出节点_2025-08-11 14:11:44(1)","上海分公司","上海","资金","资金交易与确认","支付工具管理","系统运维类服务项目","11","已发布","未收敛","","","",""
"agent_776","人格-银企直联主账户信息匹配(1)","总部","上海","资金","","","","10","未发布","未收敛","","","",""
"agent_852","账户业务问答","总部","上海","资金","","","","8","已发布","未收敛","","","",""
"agent_853","账管登记分工问答_导出节点_2025-07-23 09:45:18_导出节点_2025-07-23 10:19:15_导出节点_2025-07-23 15:10:21","上海分公司","上海","资金","","","","8","未发布","未收敛","","","",""
"agent_857","银企对账-明细账","上海分公司","上海","资金","","","","8","未发布","未收敛","","","",""
"agent_864","人格-结息凭证信息提取(1)","总部","上海","资金","","","","7","未发布","未收敛","","","",""
"agent_884","财服资金大宗师","上海分公司","上海","资金","","","","7","已发布","未收敛","","","",""
"agent_928","25年平安银行账户项目","总部","上海","资金","","","","5","已发布","未收敛","","","",""
"agent_1033","异常交易-资金交易拦截_default_导出节点_2025-10-29 17:06:36","上海分公司","上海","资金","","","","3","未发布","未收敛","","","",""
"agent_1046","杂费付款签报审批","上海分公司","上海","资金","","","","3","已发布","未收敛","","","",""
"agent_1049","直连主账号及直连资料问答_导出节点_2025-07-23 09:45:18_导出节点_2025-07-23 10:19:15_导出节点_2025-07-24 10:58:07","上海分公司","上海","资金","","","","3","未发布","未收敛","","","",""
"agent_1058","银行联系方式问答_导出节点_2025-07-29 17:18:45","上海分公司","上海","资金","","","","3","已发布","未收敛","","","",""
"agent_1117","账户审批链（对接AMS测试）","总部","上海","资金","","","","2","已发布","未收敛","","","",""
"agent_1124","银行流水智能识别工具_导出节点_2025-06-16 16:09:36","上海分公司","上海","资金","","","","2","未发布","未收敛","","","",""
"agent_1174","拦金灵_导出节点_2025-05-23 15:20:12","上海分公司","上海","资金","","","","1","未发布","未收敛","","","",""
"agent_1218","资金问答助手_导出节点_2025-02-24 15:27:07","总部","上海","资金","","","","1","已发布","未收敛","","","",""
"agent_262","人格-账户查询业务小管家","内江分公司","内江","资金","资金交易与确认","资金确认及查询","系统运维类服务项目","268","已发布","未收敛","","","",""
"agent_292","人格-资金流水表头","内江分公司","内江","资金","资金对账检查","余额调节表编制","资金管理类服务项目","196","未发布","未收敛","","","",""
"agent_313","资金计费/管理主体查询助手","内江分公司","内江","资金","","","","154","已发布","未收敛","","","",""
"agent_340","资金作业分布查询","内江分公司","内江","资金","","","","120","已发布","未收敛","","","",""
"agent_347","内江分公司-财服-账户查询业务小管家","内江分公司","内江","资金","","","","108","已发布","未收敛","","","",""
"agent_389","人格-未达账查询","内江分公司","内江","资金","","","","76","未发布","未收敛","","","",""
"agent_399","未达账查询","内江分公司","内江","资金","资金对账检查","余额调节表编制","资金管理类服务项目","69","已发布","未收敛","","","",""
"agent_413","内江-财服-资金线-非直连流水格式查询","内江分公司","内江","资金","","","","65","已发布","未收敛","","","",""
"agent_639","资金查询手册查询","内江分公司","内江","资金","","","","19","已发布","未收敛","","","",""
"agent_869","内江分公司-财服-BU内江业务处理人指引","内江分公司","内江","资金","","","","7","未发布","未收敛","","","",""
"agent_44","人格-货币型产品持仓分红频率查询","合肥分公司","合肥","资金","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","5616","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_175","人格-预提费用与可用资金对比","合肥分公司","合肥","资金","寿险机构集中","寿险机构集中","","604","已发布","已收敛","proposal_11","寿险机构集中-寿险机构集中-统一智能体","11.0%","36"
"agent_253","人格-智引-产险杂费付款业务知识","合肥分公司","合肥","资金","产险机构集中","产险机构集中","","288","已发布","已收敛","proposal_4","产险机构集中-产险机构集中-统一智能体","16.8%","11"
"agent_893","人格-产险杂费付款审核要求","合肥分公司","合肥","资金","产险机构集中","产险机构集中","","6","已发布","已收敛","proposal_4","产险机构集中-产险机构集中-统一智能体","16.8%","11"
"agent_221","港资管账户映射查询智能体","合肥分公司","合肥","资金","","","","362","已发布","未收敛","","","",""
"agent_349","预提费用与可用资金对比","合肥分公司","合肥","资金","","","","107","已发布","未收敛","","","",""
"agent_354","人格-货币型产品持仓分红频率查询_default_导出节点_2025-09-23 16:24:29","合肥分公司","合肥","资金","","","","102","已发布","未收敛","","","",""
"agent_407","共保协议核对收款户名及账号智能体","合肥分公司","合肥","资金","","","","67","已发布","未收敛","","","",""
"agent_441","杂费付款-测试","合肥分公司","合肥","资金","","","","54","未发布","未收敛","","","",""
"agent_470","人格-资金产险2.0出题助手","合肥分公司","合肥","资金","/","/","","44","已发布","未收敛","","","",""
"agent_499","银行存款月结对账_default_导出节点_2025-09-02 15:09:11","合肥分公司","合肥","资金","","","","38","未发布","未收敛","","","",""
"agent_519","银行存款月结对账","合肥分公司","合肥","资金","","","","35","未发布","未收敛","","","",""
"agent_611","共保签报审核","合肥分公司","合肥","资金","","","","21","未发布","未收敛","","","",""
"agent_769","风控-银企对账","合肥分公司","合肥","资金","","","","11","未发布","未收敛","","","",""
"agent_817","杂费付款签报审批","合肥分公司","合肥","资金","","","","9","未发布","未收敛","","","",""
"agent_1071","人格-产险共保协议核对","合肥分公司","合肥","资金","","","","2","未发布","未收敛","","","",""
"agent_1226","银行存款月结对账_default_导出节点_2025-09-02 15:09:11_default_导出节点_2025-09-02 20:12:31","合肥分公司","合肥","资金","","","","1","未发布","未收敛","","","",""
"agent_51","人格-OF汇总表提取","成都分公司","成都","资金","账套管理","月结基础套餐","财务类服务项目","4001","已发布","已收敛","proposal_13","账套管理-月结基础套餐-统一智能体","14.9%","14"
"agent_278","人格-结息凭证信息提取","成都分公司","成都","资金","寿险机构集中","寿险机构集中","","234","未发布","已收敛","proposal_11","寿险机构集中-寿险机构集中-统一智能体","11.0%","36"
"agent_48","人格-工会核算规则","成都分公司","成都","资金","账套管理","工会账套管理","财务类服务项目","4228","已发布","未收敛","","","",""
"agent_147","产险杂费付款签报审批","成都分公司","成都","资金","","","","773","已发布","未收敛","","","",""
"agent_272","人格-产险银行余额对账","成都分公司","成都","资金","","","","253","已发布","未收敛","","","",""
"agent_511","本智能体用于产险机构集中的杂费付款签报审批审核","成都分公司","成都","资金","","","","35","未发布","未收敛","","","",""
